title,audience_rating,critic_rating
Orlando,7.1,75
"Out of Africa",7.1,69
"Outlaw King",6.9,59
Overlord,6.6,60
"Pain & Gain",6.4,45
"Pan's Labyrinth",8.2,98
"Pankow '95",6.5,66
Papillon,7.2,51
Papillon,8,58
Parallel,5.7,66
ParaNorman,7,72
Parthenope,6.4,58
"Party Monster",6.2,36
"Pat Garrett & Billy the Kid",7.2,53
"Patch Adams",6.8,26
Patton,7.9,86
"Patty Hearst",6.3,62
"Paul, Apostle of Christ",6.6,52
"Pawn Sacrifice",7,65
"Pedejais bledis",5.6,66
"Pele: Birth of a Legend",7.1,39
"Percy Vs Goliath",6.4,56
"Permanent Midnight",6.2,57
Persepolis,8,90
"Peter Pan's Neverland Nightmare",6.9,66
"Peter Pan's Neverland Nightmare",6.9,66
Philomena,7.6,77
"Pok̩mon: Detective Pikachu",6.5,53
"Pok̩mon: Detective Pikachu",6.5,53
Pollock,7,77
Prefontaine,6.8,55
"Prick Up Your Ears",7.1,72
Pride,7.8,79
"Princess Kaiulani",6.1,41
Priscilla,6.5,79
"Private Parts",6.9,67
"Professor Marston & the Wonder Women",7,68
Prometheus,7,64
"Prozac Nation",6.2,66
Psycho,8.5,97
Psycho,8.5,97
"Public Enemies",7,70
Puncture,6.8,54
"Puss in Boots: The Last Wish",7.8,73
"Quantum of Solace",6.5,58
"Queen Margot",7.4,66
"Queen of Katwe",7.4,73
Quills,7.2,70
"Quiz Show",7.5,92
"Rabbit-Proof Fence",7.4,80
Race,7.1,56
Radio,6.9,38
Radioactive,6.3,56
"Raging Bull",8.1,90
"Raiders of the River",8,66
Ratatouille,8.1,96
Ray,7.7,73
"Ready or Not",6.9,64
"Ready or Not",6.9,64
Rebecca,6,46
"Rebel in the Rye",6.7,46
"Red City",7,66
"Red Dog",7.3,66
"Red Joan",6.4,45
Reds,7.3,76
"Remember the Titans",7.8,48
"Rescue Dawn",7.3,77
Resistance,6.5,53
Respect,6.6,61
Restoration,6.6,66
Restrepo,7.4,85
"Return to Oz",6.7,42
"Return to Oz",6.7,42
"Reversal of Fortune",7.2,93
"Richard III",7.3,86
"Richard Jewell",7.5,68
"Ride Like a Girl",7,47
"Riding in Cars with Boys",6.5,43
Rise,7,74
"Rise of the Footsoldier",6.8,66
"Rob Roy",6.9,55
"Rob the Mob",6.3,63
Rocketman,7.3,69
Rogue,8.1,66
"Rogue Agent",6.4,61
"Romulus, My Father",6.6,57
"Ruby Red",6,66
"Ruby Red",6,66
"Ruby Red",6,66
Rudy,7.5,71
Rush,8.1,74
Rustin,6.5,68
Safety,6.8,55
"Saint Laurent",6.1,52
"Salome's Last Dance",6.4,66
"Same Kind of Different as Me",6.6,47
"Sapphire Blue",6.2,66
"Saving for the Day",8.8,66
"Saving Mr. Banks",7.5,65
Saw,7.6,46
Saw,7.6,46
"Saw X",6.6,60
"Saw X",6.6,60
"Schindler's List",9,95
Scream,7.4,66
Scream,6.3,60
Scream,6.3,60
Scream,7.4,66
"Scream VI",6.5,61
"Scream VI",6.5,61
"Searching for Bobby Fischer",7.4,89
"Searching for Sugar Man",8.2,79
Seberg,6,54
Secretariat,7.2,61
"See You on Venus",6,66
Selena,6.8,67
Selma,7.5,79
Senna,8.5,79
"Sergeant Keroro Super Movie 2: The Deep Sea Princess de arimasu!",6.5,66
Sergio,6.2,55
Serpico,7.7,83
"Seven Years in Tibet",7.1,55
Shadowlands,7.3,66
"Shallow Hal",6,48
"She Came to Me",6,53
"Sherlock Holmes",7.6,57
"Sherlock Holmes: A Game of Shadows",7.4,48
Shine,7.6,87
Shirley,6.2,57
Shirley,6.1,76
"Shock and Awe",6.4,47
"Shooting Stars",6.5,62
Shrek,7.9,84
"Shrek 2",7.3,75
"Sid and Nancy",7,76
Sight,7.2,42
"Silent Hill",6.5,31
"Silent Hill",6.5,31
Silkwood,7.1,64
Sing,7.1,59
"Sing 2",7.3,49
Sinister,6.8,53
Sinister,6.8,53
"Six-Hundred & Sixty Six",5.2,66
"Skeleton on Horseback",7.5,66
Skin,6.8,58
Slaughterhouse-Five,6.8,66
Sly,7,62
Smile,6.5,68
Smile,6.5,68
"Snow White and the Huntsman",6.1,57
"Snow White and the Huntsman",6.1,57
Snowden,7.3,58
"Society of the Snow",7.8,72
